,Unnamed: 0,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curbweight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,model,year,city-L/100km,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas,sports_or_wagon
0,0,3.0,122,alfa-romero,std,2,convertible,rwd,front,88.6,0.8111484863046613,0.8865836791147994,0.8160535117056856,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,13495.0,,2019.4,11.19047619047619,9.37037037037037,low,0,1,22.954954954954953
1,1,3.0,122,alfa-romero,std,2,convertible,rwd,front,88.6,0.8111484863046613,0.8865836791147994,0.8160535117056856,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,16500.0,,2019.4,11.19047619047619,9.37037037037037,low,0,1,22.954954954954953
2,2,1.0,122,alfa-romero,std,2,hatchback,rwd,front,94.5,0.8226814031715521,0.9059474412171508,0.8762541806020067,2823.0,ohcv,six,152.0,mpfi,2.68,3.47,9.0,154.0,5000.0,19.0,26.0,16500.0,,2019.4,12.36842105263158,9.73076923076923,medium,0,1,18.33116883116883
3,3,2.0,164,audi,std,4,sedan,fwd,front,99.8,0.8486304661220567,0.9156293222683264,0.9080267558528428,2337.0,ohc,four,109.0,mpfi,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,13950.0,,2019.4,9.791666666666666,8.433333333333334,low,0,1,22.91176470588235
4,4,2.0,164,audi,std,4,sedan,4wd,front,99.4,0.8486304661220567,0.9183955739972338,0.9080267558528428,2824.0,ohc,five,136.0,mpfi,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0,,2019.4,13.055555555555555,11.5,low,0,1,24.556521739130435
5,5,2.0,122,audi,std,2,sedan,fwd,front,99.8,0.8519942335415667,0.91701244813278,0.8879598662207359,2507.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,15250.0,,2019.4,12.36842105263158,10.12,low,0,1,22.79090909090909
6,6,1.0,158,audi,std,4,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,0.931438127090301,2844.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,17710.0,,2019.4,12.36842105263158,10.12,low,0,1,25.854545454545455
7,7,1.0,122,audi,std,4,wagon,fwd,front,105.8,0.9259971167707832,0.9875518672199172,0.931438127090301,2954.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,18920.0,,2019.4,12.36842105263158,10.12,low,0,1,26.854545454545455
8,8,1.0,158,audi,turbo,4,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,0.9347826086956522,3086.0,ohc,five,131.0,mpfi,3.13,3.4,8.3,140.0,5500.0,17.0,20.0,23875.0,,2019.4,13.823529411764708,12.65,medium,0,1,22.042857142857144
9,9,0.0,122,audi,turbo,2,hatchback,4wd,front,99.5,0.8563190773666506,0.9391424619640388,0.8695652173913044,3053.0,ohc,five,131.0,mpfi,3.13,3.4,7.0,160.0,5500.0,16.0,22.0,13207.129353233831,,2019.4,14.6875,11.5,medium,0,1,19.08125
10,10,2.0,192,bmw,std,2,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16430.0,,2019.4,10.217391304347826,8.724137931034482,low,0,1,23.712871287128714
11,11,0.0,192,bmw,std,4,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16925.0,,2019.4,10.217391304347826,8.724137931034482,low,0,1,23.712871287128714
12,12,0.0,188,bmw,std,2,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2710.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,20970.0,,2019.4,11.19047619047619,9.035714285714286,low,0,1,22.39669421487603
13,13,0.0,188,bmw,std,4,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2765.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,21105.0,,2019.4,11.19047619047619,9.035714285714286,low,0,1,22.85123966942149
14,14,1.0,122,bmw,std,4,sedan,rwd,front,103.5,0.9082172032676598,0.9253112033195022,0.931438127090301,3055.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,20.0,25.0,24565.0,,2019.4,11.75,10.12,low,0,1,25.24793388429752
15,15,0.0,122,bmw,std,4,sedan,rwd,front,103.5,0.9082172032676598,0.9253112033195022,0.931438127090301,3230.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,30760.0,,2019.4,14.6875,11.5,medium,0,1,17.747252747252748
16,16,0.0,122,bmw,std,2,sedan,rwd,front,103.5,0.9312830370014415,0.9391424619640388,0.8979933110367894,3380.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,41315.0,,2019.4,14.6875,11.5,medium,0,1,18.571428571428573
17,17,0.0,122,bmw,std,4,sedan,rwd,front,110.0,0.9466602594906296,0.9806362378976488,0.9414715719063546,3505.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,15.0,20.0,36880.0,,2019.4,15.666666666666666,12.65,medium,0,1,19.25824175824176
18,18,2.0,121,chevrolet,std,2,hatchback,fwd,front,88.4,0.6780394041326285,0.8340248962655602,0.8896321070234114,1488.0,l,three,61.0,2bbl,2.91,3.03,9.5,48.0,5100.0,47.0,53.0,5151.0,,2019.4,5.0,4.773584905660377,low,0,1,31.0
19,19,1.0,98,chevrolet,std,2,hatchback,fwd,front,94.5,0.7491590581451226,0.8796680497925312,0.8695652173913044,1874.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6295.0,,2019.4,6.184210526315789,5.883720930232558,low,0,1,26.771428571428572
20,20,0.0,81,chevrolet,std,4,sedan,fwd,front,94.5,0.7630946660259491,0.8796680497925312,0.8695652173913044,1909.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6575.0,,2019.4,6.184210526315789,5.883720930232558,low,0,1,27.271428571428572
21,21,1.0,118,dodge,std,2,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8494983277591973,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.41,68.0,5500.0,37.0,41.0,5572.0,,2019.4,6.351351351351352,6.170731707317073,low,0,1,27.58823529411765
22,22,1.0,118,dodge,std,2,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8494983277591973,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6377.0,,2019.4,7.580645161290323,6.657894736842105,low,0,1,27.58823529411765
23,23,1.0,118,dodge,turbo,2,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8494983277591973,2128.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7957.0,,2019.4,9.791666666666666,8.433333333333334,low,0,1,20.862745098039216
24,24,1.0,148,dodge,std,4,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,1967.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6229.0,,2019.4,7.580645161290323,6.657894736842105,low,0,1,28.926470588235293
25,25,1.0,148,dodge,std,4,sedan,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6692.0,,2019.4,7.580645161290323,6.657894736842105,low,0,1,29.25
26,26,1.0,148,dodge,std,4,sedan,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,7609.0,,2019.4,7.580645161290323,6.657894736842105,low,0,1,29.25
27,27,1.0,148,dodge,turbo,4,sedan,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,2191.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,8558.0,,2019.4,9.791666666666666,8.433333333333334,low,0,1,21.480392156862745
28,28,-1.0,110,dodge,std,4,wagon,fwd,front,103.3,0.8390197020663143,0.8934993084370677,1.0,2535.0,ohc,four,122.0,2bbl,3.34,3.46,8.5,88.0,5000.0,24.0,30.0,8921.0,,2019.4,9.791666666666666,8.433333333333334,low,0,1,28.806818181818183
29,29,3.0,145,dodge,turbo,2,hatchback,fwd,front,95.9,0.8322921672272945,0.91701244813278,0.8394648829431439,2811.0,ohc,four,156.0,mfi,3.6,3.9,7.0,145.0,5000.0,19.0,24.0,12964.0,,2019.4,12.36842105263158,10.541666666666666,medium,0,1,19.386206896551723
30,30,2.0,137,honda,std,2,hatchback,fwd,front,86.6,0.6948582412301778,0.8838174273858921,0.8494983277591973,1713.0,ohc,four,92.0,1bbl,2.91,3.41,9.6,58.0,4800.0,49.0,54.0,6479.0,,2019.4,4.795918367346939,4.685185185185185,low,0,1,29.53448275862069
31,31,2.0,137,honda,std,2,hatchback,fwd,front,86.6,0.6948582412301778,0.8838174273858921,0.8494983277591973,1819.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,31.0,38.0,6855.0,,2019.4,7.580645161290323,6.657894736842105,low,0,1,23.93421052631579
32,32,1.0,101,honda,std,2,hatchback,fwd,front,93.7,0.7208073041806824,0.8852005532503459,0.8795986622073579,1837.0,ohc,four,79.0,1bbl,2.91,3.07,10.1,60.0,5500.0,38.0,42.0,5399.0,,2019.4,6.184210526315789,6.023809523809524,low,0,1,30.616666666666667
33,33,1.0,101,honda,std,2,hatchback,fwd,front,93.7,0.7208073041806824,0.8852005532503459,0.8795986622073579,1940.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,6529.0,,2019.4,7.833333333333333,7.4411764705882355,low,0,1,25.526315789473685
34,34,1.0,101,honda,std,2,hatchback,fwd,front,93.7,0.7208073041806824,0.8852005532503459,0.8795986622073579,1956.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,7129.0,,2019.4,7.833333333333333,7.4411764705882355,low,0,1,25.736842105263158
35,35,0.0,110,honda,std,4,sedan,fwd,front,96.5,0.7851994233541567,0.8852005532503459,0.911371237458194,2010.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0,,2019.4,7.833333333333333,7.4411764705882355,low,0,1,26.44736842105263
36,36,0.0,78,honda,std,4,wagon,fwd,front,96.5,0.754925516578568,0.8838174273858921,0.9749163879598662,2024.0,ohc,four,92.0,1bbl,2.92,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0,,2019.4,7.833333333333333,7.4411764705882355,low,0,1,26.63157894736842
37,37,0.0,106,honda,std,2,hatchback,fwd,front,96.5,0.8049014896684287,0.90179806362379,0.8913043478260869,2236.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,7895.0,,2019.4,8.703703703703704,7.666666666666667,low,0,1,26.0
38,38,0.0,106,honda,std,2,hatchback,fwd,front,96.5,0.8049014896684287,0.90179806362379,0.8913043478260869,2289.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,9095.0,,2019.4,8.703703703703704,7.666666666666667,low,0,1,26.61627906976744
39,39,0.0,85,honda,std,4,sedan,fwd,front,96.5,0.8428640076886112,0.90179806362379,0.9046822742474916,2304.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,8845.0,,2019.4,8.703703703703704,7.666666666666667,low,0,1,26.790697674418606
40,40,0.0,85,honda,std,4,sedan,fwd,front,96.5,0.8428640076886112,0.8644536652835408,0.9046822742474916,2372.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,10295.0,,2019.4,8.703703703703704,7.666666666666667,low,0,1,27.58139534883721
41,41,0.0,85,honda,std,4,sedan,fwd,front,96.5,0.8428640076886112,0.90179806362379,0.9046822742474916,2465.0,ohc,four,110.0,mpfi,3.15,3.58,9.0,101.0,5800.0,24.0,28.0,12945.0,,2019.4,9.791666666666666,9.035714285714286,low,0,1,24.405940594059405
42,42,1.0,107,honda,std,2,sedan,fwd,front,96.5,0.8125901009130225,0.9128630705394192,0.8528428093645485,2293.0,ohc,four,110.0,2bbl,3.15,3.58,9.1,100.0,5500.0,25.0,31.0,10345.0,,2019.4,9.4,8.161290322580646,low,0,1,22.93
43,43,0.0,122,isuzu,std,4,sedan,rwd,front,94.3,0.8202787121576165,0.8547717842323651,0.8946488294314382,2337.0,ohc,four,111.0,2bbl,3.31,3.23,8.5,78.0,4800.0,24.0,29.0,6785.0,,2019.4,9.791666666666666,8.724137931034482,low,0,1,29.96153846153846
44,44,1.0,122,isuzu,std,2,sedan,fwd,front,94.5,0.7491590581451226,0.8796680497925312,0.8695652173913044,1874.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,13207.129353233831,,2019.4,6.184210526315789,5.883720930232558,low,0,1,26.771428571428572
45,45,0.0,122,isuzu,std,4,sedan,fwd,front,94.5,0.7491590581451226,0.8796680497925312,0.8695652173913044,1909.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,13207.129353233831,,2019.4,6.184210526315789,5.883720930232558,low,0,1,27.271428571428572
46,46,2.0,122,isuzu,std,2,hatchback,rwd,front,96.0,0.8294089380105718,0.90179806362379,0.8595317725752508,2734.0,ohc,four,119.0,spfi,3.43,3.23,9.2,90.0,5000.0,24.0,29.0,11048.0,,2019.4,9.791666666666666,8.724137931034482,low,0,1,30.377777777777776
47,47,0.0,145,jaguar,std,4,sedan,rwd,front,113.0,0.9591542527630946,0.962655601659751,0.882943143812709,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,176.0,4750.0,15.0,19.0,32250.0,,2019.4,15.666666666666666,13.31578947368421,medium,0,1,23.102272727272727
48,48,0.0,122,jaguar,std,4,sedan,rwd,front,113.0,0.9591542527630946,0.962655601659751,0.882943143812709,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,176.0,4750.0,15.0,19.0,35550.0,,2019.4,15.666666666666666,13.31578947368421,medium,0,1,23.102272727272727
49,49,0.0,122,jaguar,std,2,sedan,rwd,front,102.0,0.921191734742912,0.9764868603042876,0.7993311036789298,3950.0,ohcv,twelve,326.0,mpfi,3.54,2.76,11.5,262.0,5000.0,13.0,17.0,36000.0,,2019.4,18.07692307692308,14.882352941176473,high,0,1,15.076335877862595
50,50,1.0,104,mazda,std,2,hatchback,fwd,front,93.1,0.7645362806343105,0.8879668049792532,0.9046822742474916,1890.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,30.0,31.0,5195.0,,2019.4,7.833333333333333,8.161290322580646,low,0,1,27.794117647058822
51,51,1.0,104,mazda,std,2,hatchback,fwd,front,93.1,0.7645362806343105,0.8879668049792532,0.9046822742474916,1900.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6095.0,,2019.4,7.580645161290323,6.657894736842105,low,0,1,27.941176470588236
52,52,1.0,104,mazda,std,2,hatchback,fwd,front,93.1,0.7645362806343105,0.8879668049792532,0.9046822742474916,1905.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6795.0,,2019.4,7.580645161290323,6.657894736842105,low,0,1,28.014705882352942
53,53,1.0,113,mazda,std,4,sedan,fwd,front,93.1,0.8015377222489188,0.8879668049792532,0.9046822742474916,1945.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6695.0,,2019.4,7.580645161290323,6.657894736842105,low,0,1,28.602941176470587
54,54,1.0,113,mazda,std,4,sedan,fwd,front,93.1,0.8015377222489188,0.8879668049792532,0.9046822742474916,1950.0,ohc,four,91.0,2bbl,3.08,3.15,9.0,68.0,5000.0,31.0,38.0,7395.0,,2019.4,7.580645161290323,6.657894736842105,low,0,1,28.676470588235293
55,55,3.0,150,mazda,std,2,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2380.0,rotor,two,70.0,4bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,17.0,23.0,10945.0,,2019.4,13.823529411764708,11.0,low,0,1,23.564356435643564
56,56,3.0,150,mazda,std,2,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2380.0,rotor,two,70.0,4bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,17.0,23.0,11845.0,,2019.4,13.823529411764708,11.0,low,0,1,23.564356435643564
57,57,3.0,150,mazda,std,2,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2385.0,rotor,two,70.0,4bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,17.0,23.0,13645.0,,2019.4,13.823529411764708,11.0,low,0,1,23.613861386138613
58,58,3.0,150,mazda,std,2,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2500.0,rotor,two,80.0,mpfi,3.3297512437810943,3.255422885572139,9.4,135.0,6000.0,16.0,23.0,15645.0,,2019.4,14.6875,11.0,medium,0,1,18.51851851851852
59,59,1.0,129,mazda,std,2,hatchback,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.8979933110367894,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8845.0,,2019.4,9.038461538461538,7.90625,low,0,1,28.392857142857142
60,60,0.0,115,mazda,std,4,sedan,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.92809364548495,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8495.0,,2019.4,9.038461538461538,7.90625,low,0,1,28.69047619047619
61,61,1.0,129,mazda,std,2,hatchback,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.8979933110367894,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10595.0,,2019.4,9.038461538461538,7.90625,low,0,1,28.392857142857142
62,62,0.0,115,mazda,std,4,sedan,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.92809364548495,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10245.0,,2019.4,9.038461538461538,7.90625,low,0,1,28.69047619047619
63,63,0.0,122,mazda,std,4,sedan,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.92809364548495,2443.0,ohc,four,122.0,idi,3.39,3.39,22.7,64.0,4650.0,36.0,42.0,10795.0,,2019.4,6.527777777777778,6.023809523809524,low,1,0,38.171875
64,64,0.0,115,mazda,std,4,hatchback,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.92809364548495,2425.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,11245.0,,2019.4,9.038461538461538,7.90625,low,0,1,28.86904761904762
65,65,0.0,118,mazda,std,4,sedan,rwd,front,104.9,0.8409418548774628,0.9142461964038728,0.9096989966555185,2670.0,ohc,four,140.0,mpfi,3.76,3.16,8.0,120.0,5000.0,19.0,27.0,18280.0,,2019.4,12.36842105263158,9.37037037037037,low,0,1,22.25
66,66,0.0,122,mazda,std,4,sedan,rwd,front,104.9,0.8409418548774628,0.9142461964038728,0.9096989966555185,2700.0,ohc,four,134.0,idi,3.43,3.64,22.0,72.0,4200.0,31.0,39.0,18344.0,,2019.4,7.580645161290323,6.487179487179487,low,1,0,37.5
67,67,-1.0,93,mercedes-benz,turbo,4,sedan,rwd,front,110.0,0.9173474291206152,0.9723374827109268,0.9448160535117056,3515.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,25552.0,,2019.4,10.681818181818182,10.12,low,1,0,28.577235772357724
68,68,-1.0,93,mercedes-benz,turbo,4,wagon,rwd,front,110.0,0.9173474291206152,0.9723374827109268,0.9816053511705688,3750.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,28248.0,,2019.4,10.681818181818182,10.12,low,1,0,30.48780487804878
69,69,0.0,93,mercedes-benz,turbo,2,hardtop,rwd,front,106.7,0.9010091302258528,0.9723374827109268,0.9180602006688964,3495.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,28176.0,,2019.4,10.681818181818182,10.12,low,1,0,28.414634146341463
70,70,-1.0,93,mercedes-benz,turbo,4,sedan,rwd,front,115.6,0.9735703988467084,0.991701244813278,0.9414715719063546,3770.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,31600.0,,2019.4,10.681818181818182,10.12,low,1,0,30.650406504065042
71,71,-1.0,122,mercedes-benz,std,4,sedan,rwd,front,115.6,0.9735703988467084,0.991701244813278,0.9448160535117056,3740.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155.0,4750.0,16.0,18.0,34184.0,,2019.4,14.6875,14.055555555555555,medium,0,1,24.129032258064516
72,72,3.0,142,mercedes-benz,std,2,convertible,rwd,front,96.6,0.8664103796251803,0.975103734439834,0.8494983277591973,3685.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155.0,4750.0,16.0,18.0,35056.0,,2019.4,14.6875,14.055555555555555,medium,0,1,23.774193548387096
73,73,0.0,122,mercedes-benz,std,4,sedan,rwd,front,120.9,1.0,0.991701244813278,0.948160535117057,3900.0,ohcv,eight,308.0,mpfi,3.8,3.35,8.0,184.0,4500.0,14.0,16.0,40960.0,,2019.4,16.785714285714285,15.8125,medium,0,1,21.195652173913043
74,74,1.0,122,mercedes-benz,std,2,hardtop,rwd,front,112.0,0.957232099951946,0.995850622406639,0.9264214046822744,3715.0,ohcv,eight,304.0,mpfi,3.8,3.35,8.0,184.0,4500.0,14.0,16.0,45400.0,,2019.4,16.785714285714285,15.8125,medium,0,1,20.190217391304348
75,75,1.0,122,mercury,turbo,2,hatchback,rwd,front,102.7,0.857280153772225,0.9405255878284924,0.9163879598662208,2910.0,ohc,four,140.0,mpfi,3.78,3.12,8.0,175.0,5000.0,19.0,24.0,16503.0,,2019.4,12.36842105263158,10.541666666666666,medium,0,1,16.62857142857143
